Nº,MES DE RADICACIÓN,GENERO,EDAD,ADULTO MAYOR,NACIONALIDAD,PRODUCTO QUE VENDE,DETALLE DEL PRODUCTO,PERSONA EN DISCAPACIDAD,CERTIFICADO REGISTRO ÚNICO DE VÍCTIMAS CONFLICTO ARMADO,CERTIFICADO RESGUARDO INDÍGENA,IDENTIFICADO LGBTIQ+,PERTENECE A ALGUNA ASOCIACIÓN
1,ENERO,FEMENINO,29,NO,COLOMBIANO,COMIDAS RAPIDAS,"HAMBURGUESAS, PERROS CALIENTES, CHORIZOS Y TINTO, AROMATICAS GASEOSAS Y CIGARRILLOS",NO,NO,NO,NO,false
2,ENERO,FEMENINO,64,SI,COLOMBIANO,VISUTERIA,"MANILLAS, COLLARES, ARGOLLAS EN ACERO, RELOJES",NO,NO,NO,NO,false
3,FEBRERO,FEMENINO,32,NO,COLOMBIANO,PERFUMES,PERFUMES,NO,NO,NO,SI,false
4,ABRIL,MASCULINO,36,NO,COLOMBIANO,COMIDAS RAPIDAS,"PIZZA, Y LO RELACIONADO OJO USO CILINDRO DE GAS",NO,NO,NO,NO,false
5,ABRIL,MASCULINO,66,SI,COLOMBIANO,"PRODUCTOS ALIMENTICIOS YA PREPARADOS, COMESTIBLES, ALIMENTOS ULTRA-PROCESADOS",BEBIDAS CALIENTES Y FRIAS,NO,NO,NO,NO,false
6,MAYO,MASCULINO,80,SI,COLOMBIANO,IMPLEMENTOS DE PROTECCIÓN,"TAPABOCAS, PROTECTORES PARA DOCUMENTOS",NO,NO,NO,NO,false
7,MAYO,FEMENINO,65,SI,COLOMBIANO,ALIMENTOS,TINTO AROMATICA MAIZENA CIGARRILLOS,NO,NO,NO,NO,false
8,JUNIO,MASCULINO,79,SI,COLOMBIANO,ALIMENTOS,AGUACATES,NO,NO,NO,NO,false
9,JUNIO,MASCULINO,44,NO,COLOMBIANO,ALIMENTOS,FRUTAS - VERDURAS Y HORTALIZAS,SI,NO,NO,NO,false
10,JUNIO,FEMENINO,38,NO,COLOMBIANO,PRENDAS DE VESTIR,IMPLEMENTOS PARA CICLISMO,NO,NO,NO,NO,false
11,JUNIO,FEMENINO,51,NO,COLOMBIANO,ALIMENTOS,JUGOS DE NARANJA - TINTOS - DULCERIA,NO,NO,NO,NO,false
12,JUNIO,FEMENINO,26,NO,COLOMBIANO,ALIMENTOS,JUGOS - AGUA - FRUTAS - GALLETAS - GELES ENERGIZANTES - TINTO - HIDRATANTES - SALPICON .,NO,NO,NO,NO,false
13,JUNIO,FEMENINO,65,SI,COLOMBIANO,MAIZ Y BURBUJERO,MAIZ Y BURBUJERO,NO,NO,NO,NO,false
14,JUNIO,MASCULINO,48,NO,COLOMBIANO,ARTESANIAS,ARTESANIAS,NO,NO,NO,NO,false
15,JUNIO,FEMENINO,40,NO,COLOMBIANO,ALIMENTOS,ENVUELTOS DE MAZORCA,NO,NO,NO,NO,false
16,JUNIO,FEMENINO,25,NO,COLOMBIANO,ALIMENTOS,TINTO - AROMATCA - CIGARRILLOS - DULCES,NO,NO,NO,NO,false
17,JUNIO,MASCULINO,57,NO,COLOMBIANO,ALIMENTOS,VENTA DE CHORIZOS - USA CILINDRO DE GAS,NO,NO,NO,NO,false
18,JUNIO,FEMENINO,28,NO,COLOMBIANO,ALIMENTOS,ENVUELTOS DE MAZORCA UTILZA CILINDRO DE GAS,NO,NO,NO,NO,false
19,JUNIO,FEMENINO,56,NO,COLOMBIANO,ALIMENTOS,AGUACATES,NO,NO,NO,NO,false
20,JUNIO,FEMENINO,51,NO,COLOMBIANO,ALIMENTOS - FLORES - PRODUCTOS NAVIDEÑOS,MANGO BICHE - FLORES Y DETALLES - PRODUCTOS NAVIDEÑOS,NO,NO,NO,NO,false
21,JUNIO,MASCULINO,59,NO,COLOMBIANO,ALIMENTOS,TINTO - AROMATICA,NO,NO,NO,NO,false
22,JUNIO,FEMENINO,42,NO,COLOMBIANO,ALIMENTOS,JUGOS NATURALES - TINTO - SALPICON -,NO,NO,NO,NO,false
23,JUNIO,MASCULINO,58,NO,COLOMBIANO,JUGUETES,GLOBOS CON HELIO Y JUGUETES PARA NIÑOS,NO,NO,NO,NO,false
24,JUNIO,MASCULINO,35,NO,COLOMBIANO,ALIMENTOS,ARROZ CON LECHE,NO,NO,NO,NO,false
25,JUNIO,FEMENINO,37,NO,COLOMBIANO,ALIMENTOS,"EMPANADAS, PASTEL DE YUCA, AREPAHUEVO, PINCHOS Y DEMAS",NO,NO,NO,NO,false
26,JUNIO,MASCULINO,79,SI,COLOMBIANO,ALIMENTOS,AGUACATES,NO,NO,NO,NO,false
27,JUNIO,FEMENINO,31,NO,COLOMBIANO,PRENDAS DE VESTIR,"PRENDAS DE LANA: GORROS, GUANTES, MEDIAS, BUFANDAS, CAPOTACUELLO",NO,NO,NO,NO,false
28,JUNIO,MASCULINO,51,NO,COLOMBIANO,ALIMENTOS,AREPAS CON QUESO,NO,NO,NO,NO,false
29,JUNIO,MASCULINO,49,NO,COLOMBIANO,ALIMENTOS,EMPANADAS AROMATICAS JUGOS TINTO GALGUERIAS,NO,NO,NO,NO,false
30,JUNIO,MASCULINO,60,SI,COLOMBIANO,ALIMENTOS - MINUTOS CELULAR,CONFITERIA - GALLETERIA - TINTO - MINUTOS CELULAR,NO,NO,NO,NO,false
31,JUNIO,FEMENINO,61,SI,COLOMBIANO,PRENDAS DE VESTIR,"PRENDAS DE LANA: GORROS, GUANTES, MEDIAS, BUFANDAS, CAPOTACUELLO",NO,NO,NO,NO,false
32,JUNIO,FEMENINO,65,SI,COLOMBIANO,ALIMENTOS,TINTO - AROMATICA - MAIZENA - CHOCOLATE- JUGOS NATURALES - GOLOSINAS,NO,NO,NO,NO,false
33,JUNIO,MASCULINO,58,NO,COLOMBIANO,ALIMENTOS,ARROZ CON LECHE OJO UTILIZA CILINDO DE GAS,NO,NO,NO,NO,false
34,JUNIO,MASCULINO,64,SI,COLOMBIANO,ACCESORIOS,CORREAS - VILLETERAS - CANDADOS - BOLSOS,NO,NO,NO,NO,false
35,JUNIO,FEMENINO,45,NO,COLOMBIANO,ALIMENTOS,MANGO VICHE Y RASPAO,NO,NO,NO,NO,false
36,JUNIO,MASCULINO,54,NO,COLOMBIANO,ALIMENTOS,"EMPANADAS, PASTELES DE YUCA, PAPA RELLENA, AREPA DE HUEVO, JUGOS, GASEOSAS, PLATANOS RELLENOS, Y PINCHOS",NO,NO,NO,NO,false
37,JUNIO,MASCULINO,58,NO,COLOMBIANO,ALIMENTOS,JUGO DE NARANJA,NO,NO,NO,NO,false
38,JUNIO,MASCULINO,66,SI,COLOMBIANO,ALIMENTOS,CIGARRILLOS COMIDAS DE PAQUETE,NO,NO,NO,NO,false
39,JUNIO,FEMENINO,28,NO,COLOMBIANO,VARIEDADES,"ARTESANIAS, MANILLAS, COLLARES. ARETES, ANIMALES PREFABRICADOS",NO,NO,NO,NO,false
40,JUNIO,MASCULINO,41,NO,COLOMBIANO,ALIMENTOS,"TINTO, CAFÉ, AROMÁTICA, PAQUETES, GALLETERÍA, EMPANADAS, GASEOSAS, JUGOS, CIGARRILLOS, DULCES.",NO,NO,NO,NO,false
41,JUNIO,FEMENINO,38,NO,COLOMBIANO,ALIMENTOS,"TINTO, AROMÁTICA, JUGO DE NARANJA, DE ZANAHORIA, DE BOROJÓ, CIGARRILLO",NO,NO,NO,NO,false
42,JUNIO,FEMENINO,62,SI,COLOMBIANO,ALIMENTOS,"TINTO, AROMATICA, PERICO, PAN, MAIZENA",NO,NO,NO,NO,false
43,JUNIO,MASCULINO,58,NO,COLOMBIANO,ALIMENTOS,MANGO BICHE - RASPAO,NO,NO,NO,NO,false
44,JUNIO,MASCULINO,38,NO,COLOMBIANO,ACCESORIOS,JOYAS EN ACERO,NO,NO,NO,NO,false
45,JUNIO,FEMENINO,22,NO,COLOMBIANO,ALIMENTOS,JUGOS - SALPICON - EMPANADAS - GASEOSAS,NO,NO,NO,NO,false
46,JUNIO,FEMENINO,44,NO,COLOMBIANO,VARIEDADES,LIBROS - CORDONES - PLANTILLAS -,NO,NO,NO,NO,false
47,JUNIO,FEMENINO,43,NO,COLOMBIANO,ALIMENTOS,OBLEAS Y GELTINA DE PATA,NO,NO,NO,NO,false
